Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
Diesel,120000,Manual,1,Tata,Tata Sumo Victa,2005,110000.00000000001,2005,1,1948,12.2,Kolkata,19
Diesel,44227,Automatic,1,BMW,BMW 6 Series,2018,3900000.0,2018,4,2993,17.09,Kolkata,6
Diesel,70000,Automatic,3,Toyota,Toyota Fortuner,2015,1350000.0,2015,7,2982,12.55,Kolkata,9
Petrol,45000,Manual,1,Honda,Honda WR-V,2019,650000.0,2019,5,1199,17.5,Kolkata,5
Petrol,50000,Manual,1,Hyundai,Hyundai Alcazar,2021,1600000.0,2021,6,1999,14.5,Kolkata,3
Petrol,77042,Manual,1,Maruti,Maruti Swift,2019,449000.0,2019,5,1197,22.38,Kolkata,5
Petrol,42325,Manual,1,Tata,Tata Tigor,2021,517000.0,2021,5,1199,19.28,Kolkata,3
Petrol,50000,Manual,1,Volkswagen,Volkswagen Polo,2017,500000.0,2017,5,1199,16.2,Kolkata,7
Petrol,37196,Manual,1,Maruti,Maruti Swift,2015,400000.0,2015,5,1197,22.38,Kolkata,9
Diesel,61530,Manual,1,Maruti,Maruti Baleno,2017,459999.99999999994,2017,5,1248,27.39,Kolkata,7
Petrol,48000,Manual,1,Hyundai,Hyundai i20 Active,2016,580000.0,2016,5,1197,17.19,Kolkata,8
Diesel,74444,Manual,1,Maruti,Maruti Vitara Brezza,2017,643000.0,2017,5,1248,24.3,Kolkata,7
Petrol,120000,Manual,1,Skoda,Skoda Fabia,2011,200000.0,2011,5,1198,16.25,Kolkata,13
Petrol,11768,Manual,1,Maruti,Maruti S-Presso,2020,411000.00000000006,2020,5,998,21.7,Kolkata,4
Petrol,19715,Manual,2,Renault,Renault KWID,2020,384000.0,2020,5,799,22.3,Kolkata,4
Petrol,54581,Manual,1,Honda,Honda WR-V,2018,500000.0,2018,5,1199,17.5,Kolkata,6
Diesel,34000,Automatic,1,Audi,Audi A6,2014,1475000.0,2014,5,1968,17.68,Kolkata,10
Petrol,50000,Manual,2,Hyundai,Hyundai i20,2016,500000.0,2016,5,1197,18.6,Kolkata,8
Petrol,40000,Manual,2,Volkswagen,Volkswagen Polo,2014,360000.0,2014,5,1198,16.47,Kolkata,10
Diesel,70000,Automatic,4,Toyota,Toyota Fortuner,2015,1450000.0,2015,7,2982,12.55,Kolkata,9
Petrol,19600,Automatic,3,Porsche,Porsche Macan,2016,4200000.0,2016,5,1984,13.6,Kolkata,8
Diesel,120000,Manual,1,Chevrolet,Chevrolet Tavera,2011,350000.0,2011,7,2499,14.8,Kolkata,13
Diesel,68000,Automatic,1,BMW,BMW X3,2012,1199000.0,2012,5,1995,16.09,Kolkata,12
Diesel,70000,Manual,2,Tata,Tata Manza,2014,220000.00000000003,2014,5,1248,21.02,Kolkata,10
