Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
4.0,5.07227998985544e-05,1.0,2,26.0,228.0,2020,384000.0,2020,5,799,22.3,4.0,4
4.0,1.8321393891647275e-05,1.0,1,8.0,68.0,2018,500000.0,2018,5,1199,17.5,4.0,6
1.0,2.9411764705882354e-05,0.0,1,0.0,4.0,2014,1475000.0,2014,5,1968,17.68,4.0,10
4.0,2e-05,1.0,2,9.0,88.0,2016,500000.0,2016,5,1197,18.6,4.0,8
4.0,2.5e-05,1.0,2,30.0,285.0,2014,360000.0,2014,5,1198,16.47,4.0,10
1.0,1.4285714285714285e-05,0.0,4,29.0,270.0,2015,1450000.0,2015,7,2982,12.55,4.0,9
4.0,5.102040816326531e-05,0.0,3,25.0,223.0,2016,4200000.0,2016,5,1984,13.6,4.0,8
1.0,8.333333333333334e-06,1.0,1,2.0,33.0,2011,350000.0,2011,7,2499,14.8,4.0,13
1.0,1.4705882352941177e-05,0.0,1,1.0,21.0,2012,1199000.0,2012,5,1995,16.09,4.0,12
1.0,1.4285714285714285e-05,1.0,2,28.0,251.0,2014,220000.00000000003,2014,5,1248,21.02,4.0,10
1.0,2e-05,1.0,4,9.0,76.0,2016,330000.0,2016,5,1120,24.0,4.0,8
4.0,1.4249276849199903e-05,1.0,1,28.0,261.0,2021,518000.0,2021,5,1199,19.28,4.0,3
4.0,1.8348287187391057e-05,1.0,1,20.0,147.0,2010,141000.0,2010,5,998,19.0,4.0,14
1.0,5e-05,1.0,1,26.0,225.0,2018,800000.0,2018,5,1461,20.37,4.0,6
4.0,3.490279571393669e-05,1.0,1,20.0,149.0,2016,227000.0,2016,5,796,22.05,4.0,8
4.0,1.5435195332396932e-05,1.0,2,8.0,62.0,2014,372000.0,2014,5,1497,17.4,4.0,10
1.0,7.208454074939088e-06,1.0,1,29.0,270.0,2014,1300000.0,2014,7,2982,13.0,4.0,10
4.0,4.141301196836046e-05,1.0,1,20.0,177.0,2019,437000.0,2020,5,998,21.79,4.0,5
4.0,1.5384615384615384e-05,0.0,1,29.0,266.0,2017,950000.0,2017,5,1798,14.28,4.0,7
